iter	MultiClass	Accuracy
810	-0.8593099779	0.6437838585
811	-0.8592624378	0.6437910448
812	-0.8592200111	0.643790492
813	-0.859173162	0.6437954671
814	-0.8591274876	0.6437882808
815	-0.8590728994	0.6437860697
816	-0.8590190713	0.6437888336
817	-0.8589767137	0.6437822001
818	-0.8589331813	0.6437910448
819	-0.8588781786	0.6437849641
820	-0.8588251797	0.643787728
821	-0.8587693477	0.6437888336
822	-0.85873466	0.643790492
823	-0.8586878109	0.643790492
824	-0.8586465589	0.6437888336
825	-0.8586111802	0.6437932559
826	-0.8585737286	0.6437971255
827	-0.8585331675	0.6438004422
828	-0.8584861802	0.6437949143
829	-0.8584486595	0.6437938087
830	-0.8584036761	0.6438032062
831	-0.8583676755	0.6438015478
832	-0.8583315368	0.6438021006
833	-0.85828911	0.6438026534
834	-0.8582423991	0.6438059701
835	-0.8582085406	0.6438026534
836	-0.8581662521	0.6438070757
837	-0.8581220287	0.6438021006
838	-0.858089414	0.6438164732
839	-0.8580554174	0.6438131564
840	-0.8580156164	0.6438192371
841	-0.8579740188	0.6438231067
842	-0.8579296573	0.6438181316
843	-0.857881979	0.6438192371
